[2025-12-29 11:15:46] [INFO] Logging initialized. Log file: logs/qwen3.log
[2025-12-29 11:15:46] [INFO] === Multi-Pass Extraction Mode Enabled ===
[2025-12-29 11:15:46] [INFO] This mode is optimized for smaller models like qwen3-8b
[2025-12-29 11:15:46] [INFO] Max concurrent requests: 50
[2025-12-29 11:15:46] [WARNING] High concurrency may overload local vLLM servers!
[2025-12-29 11:15:46] [INFO] ============================================================
[2025-12-29 11:15:46] [INFO] Running stage: SHADOW
[2025-12-29 11:15:46] [INFO] ============================================================
[2025-12-29 11:15:46] [INFO] Loading data from data/adventure-dosi.json...
[2025-12-29 11:15:46] [INFO] Building Shadow Tree from 8 items...
[2025-12-29 11:15:46] [INFO] Saving to output/qwen3/shadow_tree.json...
[2025-12-29 11:15:46] [INFO] Done! Shadow tree has 8 root nodes
[2025-12-29 11:15:46] [INFO] ============================================================
[2025-12-29 11:15:46] [INFO] Running stage: SPATIAL
[2025-12-29 11:15:46] [INFO] ============================================================
[2025-12-29 11:15:46] [INFO] Using multi-pass extraction mode (optimized for smaller models)
[2025-12-29 11:15:51] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:52] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:52] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:52] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:52] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:52] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:52] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:52] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:52] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:52] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:52] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:52] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:53] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:53] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:53] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:53] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:53] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:53] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:53] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:53] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:53] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:54] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:54] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:54] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:54] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:54] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:54] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:55] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:56] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:56] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:57] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:57] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:59] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:59] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:59] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:59] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:15:59] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:00] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:01] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:01] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:01] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:01] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:01] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:01] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:01] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:02] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:02] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:02] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:02] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:02] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
[2025-12-29 11:16:02] [INFO] HTTP Request: POST http://localhost:8000/v1/chat/completions "HTTP/1.1 200 OK"
